,,,,,,,,,,,,
,blade_name,code,brand,class,Speed,control,weight,plies,thickness,handle,combo price,price
,Andro Super Core Cell ALL,SASAL,Andro,ALL,78,75,80,5w,6.5,"AN, ST",,$34.95
,Dr. Neubauer Firewall Plus,SUFIP,Dr. Neubauer,ALL,79,73,65,5w,10,"FL, AN, ST",,$68.95
,Dr. Neubauer Barricade,SUBAR,Dr. Neubauer,DEF+,65,88,58,7w,6.6,"FL, AN, ST",,$63.95
,Tibhar Samsonov Carbon,STSAC,Tibhar,OFF+,98,56,89,"7w, 2c",6.8,"FL, AN, ST",,$72.95
,Tibhar Samsonov Premium Contact,STSAP,Tibhar,OFF-,82,69,85,5w,5.9,"FL, AN, ST",,$54.95
,Tibhar Samsonov Alpha,STSAM,Tibhar,OFF-,86,69,85,5w,5.9,"FL, AN, ST",$117.95,$52.95
,Xiom Extreme S,SXEXS,Xiom,OFF+,95,61,92,7w,7,"FL, ST",,$59.95
,Xiom Offensive S,SXOFS,Xiom,OFF-,82,74,87,5w,6.1,"FL, ST",,$54.95
,Xiom Feel S7,SXFS7,Xiom,OFF,92,63,90,7w,6.1,"FL, ST",,$67.95
,Xiom Allround S,SXALS,Xiom,ALL,73,77,85,5w,5.4,"FL, ST",,$54.95
,Nittaku Kasumi Basic,SNKAS,Nittaku,OFF-,86,78,85,5w,5.8,"FL, ST",$124.95,$59.95
,Juic Opt-C,SJOPT,Juic,OFF,91,67,88,"5w, 2c",5.8,FL,,$79.95
